#
# Relative radiance of NIST D_2 lamp 7 @ 300mA
# ( calibrated with Ar mini arc @ 45 A below 330 nm 
# and Tungsten strip lamp above 330 nm   12/98)
# valid range : 200 - 350 nm
#
# wavelength / nm     radiance / W cm^-3 sr^-1
559.11118326     902.7214272
560.12570392     902.08316338
561.14022458     901.44117043
562.15474524     900.78836797
563.16926591     900.1175906
564.18378657     899.4215925
565.19830723     898.69305257
566.21282789     897.92457953
567.22734855     897.10871739
568.24186921     896.23795101
569.25638987     895.30471189
570.27091054     894.30138418
571.2854312      893.22031088
572.29995186     892.05380015
573.31447252     890.79413209
574.32899318     889.43356527
575.34351384     887.96434413
576.3580345      886.37870585
577.37255517     884.66888802
578.38707583     882.8271362
579.40159649     880.84571187
580.41611715     878.71690049
581.43063781     876.43301977
582.44515847     873.98642839
583.45967913     871.36953457
584.4741998      868.57480515
585.48872046     865.59477486
586.50324112     862.42205582
587.51776178     859.04934702
588.53228244     855.46944452
589.5468031      851.6752514
590.56132376     847.65978834
591.57584443     843.41620416
592.59036509     838.93778679
593.60488575     834.21797427
594.61940641     829.25036635
595.63392707     824.02873591
596.64844773     818.54704106
597.66296839     812.7994371
598.67748906     806.78028897
599.69200972     800.48418398
600.70653038     793.90594466
