waveumber,lower_key,upper_key,probability
2841.2600,2|1G2)2G,a3F4p_z4G5*,0.0000
2853.9800,2|1G2)2G,3H4p__z2G3*,0.0000
5965.2700,2|3F2)2F,3H4p__z2G3*,0.0080
5972.8300,2|3F2)2F,3H4p__z2G3*,0.0005
10519.8300,2|3P2)4P,3H4p__z2G3*,0.0000
10654.9600,2|3F2)4F,3H4p__z2G3*,0.0009
10659.3900,2|3F2)4F,3H4p__z2G3*,0.0055
10675.3200,2|3F2)4F,3H4p__z2G3*,0.0000
11619.9200,3|4F3)4F,3H4p__z2G3*,0.0001
11976.6500,3|4F3)4F,3H4p__z2G3*,0.0006
12271.8400,3|4F3)4F,3H4p__z2G3*,0.0057
13221.9200,1|2G3),3H4p__z2G3*,0.0001
13245.1200,1|2G3),3H4p__z2G3*,0.0634
14855.3100,2|1F4)2F,3H4p__z2G3*,0.0103
14875.6900,2|1F4)2F,3H4p__z2G3*,0.0016
18188.4900,1|2D3),3H4p__z2G3*,0.0019
19812.3500,2|1D4)2D,3H4p__z2G3*,0.0062
22644.9400,2|3D4)2D,3H4p__z2G3*,0.0464
25665.8600,1|2F5),3H4p__z2G3*,0.0879
25718.5500,2|1G4)2G,3H4p__z2G3*,0.0329
25800.8400,1|2F5),3H4p__z2G3*,0.0007
25859.1800,1|2F5),3H4p__z2G3*,0.2504
26979.9200,2|3G4)2G,3H4p__z2G3*,0.0185
27034.0000,2|3G4)2G,3H4p__z2G3*,4.9136
27228.0700,2|3D4)4D,3H4p__z2G3*,0.0025
27273.3400,2|3D4)4D,3H4p__z2G3*,0.0003
29270.3900,1|2G5),3H4p__z2G3*,0.2318
29441.3500,1|2G5),3H4p__z2G3*,5.4771
29932.5800,1|2H3),3H4p__z2G3*,19.4660
29935.4300,2|3F4)2F,3H4p__z2G3*,0.3041
29973.7300,2|3F4)2F,3H4p__z2G3*,39.0230
30911.9800,2|3H4)2H,3H4p__z2G3*,51.0872
31923.9900,2|3G4)4G,3H4p__z2G3*,2.4044
32021.8200,2|3G4)4G,3H4p__z2G3*,2.6502
32124.9400,2|3G4)4G,3H4p__z2G3*,6.6216
32687.9800,1|4F3),3H4p__z2G3*,5.6371
32688.6200,1|4F3),3H4p__z2G3*,0.0528
32706.2500,1|4F3),3H4p__z2G3*,1.0786
32939.5300,1|2F3),3H4p__z2G3*,5.6521
33187.2500,1|2F3),3H4p__z2G3*,0.4346
34192.0300,1|2D5),3H4p__z2G3*,9.5214
34323.5800,2|3F4)4F,3H4p__z2G3*,0.2731
34374.3500,2|3F4)4F,3H4p__z2G3*,4.9274
34425.5400,2|3F4)4F,3H4p__z2G3*,16.4305
34678.4700,2|3P4)4P,3H4p__z2G3*,0.3495
35324.1200,2|3H4)4H,3H4p__z2G3*,2.1984
35386.1400,2|3H4)4H,3H4p__z2G3*,0.2273
40496.1700,1|4D5),3H4p__z2G3*,0.0401
40509.2300,1|4D5),3H4p__z2G3*,0.0019
43720.4100,1|4P3),3H4p__z2G3*,0.0216
45023.6000,1|4G5),3H4p__z2G3*,0.0616
