32158.917    33521.09   65680.01      3G4s__b4G3 -     3H4p__z2G4        43
32170.1684   38508.92   70679.09      3G4s__b2G3 -     3G4p__x4G4       140
32212.5870   34659.24   66871.83      3P4s__a2P0 -     a3P4p_z2P0        78
32213.374    76878.97  109092.34     3D4p__w2F3  -              -         7
32245.221    69903.48  102148.71     a3F4p_y2G3  -      a3F5s_f2F2       31
32267.857    35607.51   67875.37      3F4s__b2F3 -     a3F4p_x4D3        26
32289.1577   38563.00   70852.16      3G4s__b2G4 -     3G4p__y2F3      120 
32289.1577   69954.05  102243.15     a3P4p__2D2  -      a3F5s_f2F3    120 #
32295.711    59130.32   91426.04      3P4s__b2P1 -     b3P4p_t2D2        53
32298.581    35569.18   67867.79      3F4s__b2F2 -     a3F4p_x4D2        14
32301.549    32854.94   65156.49      d5____b4F2 -     a3F4p_z4G2        14
32311.786    32844.71   65156.49      d5____b4F1 -     a3F4p_z4G2        42
32316.7195   38563.00   70879.72      3G4s__b2G4 -     3G4p__x4G5       170
32344.897    68305.55  100650.46     a3P4p_z4S1  -      a3P5s_f4P2       24
32375.352    36101.52   68476.88      d5____a2G3 -     3H4p__z2H4        38
32401.919    32854.94   65256.85      d5____b4F2 -     a3F4p_z4G3        15
32411.197    34659.24   67070.44      3P4s__a2P0 -     a3F4p_y4F1        42
32420.196    32836.65   65256.85      d5____b4F3 -     a3F4p_z4G3        27
32423.965    76987.64  109411.61     3D4p__w2F2  -              -        31
32426.01     59130.32   91556.36      3P4s__b2P1 -     b3P4p_t2D1         7
32457.0139   68737.77  101194.78     3H4p__z2H5  -      3H5s__e2H5       96
32461.5568   76878.97  109340.53     3D4p__w2F3  -              -        52
32465.253    36272.52   68737.77      d5____a2G4 -     3H4p__z2H5        28
32481.791    36101.52   68583.31      d5____a2G3 -     a3F4p_z2F2        49
32483.545    31117.33   63600.86      3F4s__a4F2 -     3H4p__z4H3        33
32487.282    36272.52   68759.80      d5____a2G4 -     a3F4p_z2F3        36
32529.653    32854.25   65383.90      d5____b4F4 -     a3F4p_z4G4        21
32537.680    31168.58   63706.25      3F4s__a4F3 -     3H4p__z4H4        19
32544.921    68476.88  101021.80     3H4p__z2H4  -      3H5s__e2H4       80
32547.25     32836.65   65383.90      d5____b4F3 -     a3F4p_z4G4        11
32593.820    21824.14   54417.95      d5____a4P1 -     5D4p__z4D0        39
32594.2357   21823.72   54417.95      d5____a4P0 -     5D4p__z4D0       100
32625.6832   51584.10   84209.78     5D4p__z4F1  -      5D5s__e4D0      400
32629.366    31219.33   63848.70      3F4s__a4F4 -     3H4p__z4H5        15
32650.7319   51669.41   84320.14     5D4p__z4F2  -      5D5s__e4D1      570
32653.502    32603.35   65256.85      d5____a2F2 -     a3F4p_z4G3        25
32675.3490   21824.14   54499.49      d5____a4P1 -     5D4p__z4D1       140
32675.769    21823.72   54499.49      d5____a4P0 -     5D4p__z4D1        55
32676.983    21822.50   54499.49      d5____a4P2 -     5D4p__z4D1        33
32687.955    32854.94   65542.90      d5____b4F2 -     3H4p__z2G3        26
32693.166    34812.93   67506.09      3H4s__a2H5 -     3H4p__z2I5        20
32706.7978   51788.81   84495.61     5D4p__z4F3  -      5D5s__e4D2      680
32718.869    31082.88   63801.75      3F4s__a4F1 -     a3P4p_y4D0        20
32724.88     67344.01  100068.86     3H4p__y4G2  -      3H5s__e4H3       40
32760.228    54868.50   87628.73      3F4s__d4F1 -     4Fsp3_u4F1        19
32769.43     35707.47   68476.88      d5____b2H5 -     3H4p__z2H4        11
32771.46     39877.03   72648.52      d5____c2F3 -     3G4p__x2G3         9
32775.094    67875.37  100650.46     a3F4p_x4D3  -      a3P5s_f4P2       25
